PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME
1627788,Furkan Korkmaz,76ers
1628436,Luke Kornet,Celtics
1630249,Vit Krejci,Thunder
1629083,Arnoldas Kulboka,Hornets
1630228,Jonathan Kuminga,Warriors
1628398,Kyle Kuzma,Wizards
203897,Zach LaVine,Bulls
1630237,Anthony Lamb,Rockets
203087,Jeremy Lamb,Kings
1629111,Jock Landale,Spurs
1629641,Romeo Langford,Spurs
1627774,Jake Layman,Timberwolves
1627747,Caris LeVert,Cavaliers
1627814,Damion Lee,Warriors
1630240,Saben Lee,Pistons
203458,Alex Len,Kings
202695,Kawhi Leonard,Clippers
1630575,Scottie Lewis,Hornets
1630184,Kira Lewis Jr.,Pelicans
203081,Damian Lillard,Trail Blazers
1629642,Nassir Little,Trail Blazers
1630587,Isaiah Livers,Pistons
1626172,Kevon Looney,Warriors
201572,Brook Lopez,Bucks
201577,Robin Lopez,Magic
1629712,Didi Louzada,Trail Blazers
201567,Kevin Love,Cavaliers
200768,Kyle Lowry,Heat
1630994,Gabriel Lundberg,Suns
1627789,Timothe Luwawu-Cabarrot,Hawks
1626168,Trey Lyles,Kings
1630177,Theo Maledon,Thunder
1630572,Sandro Mamukelashvili,Bucks
1629611,Terance Mann,Clippers
1630544,Tre Mann,Thunder
1626246,Boban Marjanovic,Mavericks
1628374,Lauri Markkanen,Cavaliers
1630230,Naji Marshall,Pelicans
1628997,Caleb Martin,Heat
1628998,Cody Martin,Hornets
1630231,Kenyon Martin Jr.,Rockets
1629726,Garrison Mathews,Rockets
202083,Wesley Matthews,Bucks
1630178,Tyrese Maxey,76ers
1630219,Skylar Mays,Hawks
1630540,Miles McBride,Knicks
1630644,Mac McClung,Lakers
203468,CJ McCollum,Pelicans
204456,T.J. McConnell,Pacers
1630183,Jaden McDaniels,Timberwolves
1629667,Jalen McDaniels,Hornets
203926,Doug McDermott,Spurs
201580,JaVale McGee,Suns
203585,Rodney McGruder,Pistons
1629162,Jordan McLaughlin,Timberwolves
203463,Ben McLemore,Trail Blazers
1629001,De'Anthony Melton,Grizzlies
1629002,Chimezie Metu,Kings
203114,Khris Middleton,Bucks
201988,Patty Mills,Nets
200794,Paul Millsap,76ers
1629003,Shake Milton,76ers
1630558,Davion Mitchell,Kings
1628378,Donovan Mitchell,Jazz
1630596,Evan Mobley,Cavaliers
1628370,Malik Monk,Lakers
202328,Greg Monroe,Timberwolves
1630541,Moses Moody,Warriors
1629875,Xavier Moon,Clippers
1629630,Ja Morant,Grizzlies
1629752,Juwan Morgan,Celtics
202693,Markieff Morris,Heat
1628420,Monte Morris,Nuggets
202694,Marcus Morris Sr.,Clippers
1628539,Mychal Mulder,Heat
1630530,Trey Murphy III,Pelicans
1627749,Dejounte Murray,Spurs
1627750,Jamal Murray,Nuggets
203488,Mike Muscala,Thunder
1629004,Svi Mykhailiuk,Raptors
1626204,Larry Nance Jr.,Pelicans
1630612,RJ Nembhard Jr.,Cavaliers
1630174,Aaron Nesmith,Celtics
203526,Raul Neto,Wizards
1627777,Georges Niang,76ers
1630227,Daishen Nix,Rockets
1630192,Zeke Nnaji,Nuggets
203457,Nerlens Noel,Knicks
1629669,Jaylen Nowell,Timberwolves
1628373,Frank Ntilikina,Mavericks
1629134,Kendrick Nunn,Lakers
203994,Jusuf Nurkic,Trail Blazers
1628021,David Nwaba,Rockets
1629670,Jordan Nwora,Bucks
1626220,Royce O'Neale,Jazz
1629643,Chuma Okeke,Magic
1629006,Josh Okogie,Timberwolves
1630168,Onyeka Okongwu,Hawks
1630171,Isaac Okoro,Cavaliers
203506,Victor Oladipo,Heat
203482,Kelly Olynyk,Pistons
1626224,Cedi Osman,Cavaliers
1626162,Kelly Oubre Jr.,Hornets
1629672,Eric Paschall,Jazz
101108,Chris Paul,Suns
1626166,Cameron Payne,Suns
203901,Elfrid Payton,Suns
1627780,Gary Payton II,Warriors
1630691,Jamorko Pickett,Pistons
1629033,Theo Pinson,Mavericks
203486,Mason Plumlee,Hornets
1627751,Jakob Poeltl,Spurs
1630197,Aleksej Pokusevski,Thunder
1630582,Yves Pons,Grizzlies
1629673,Jordan Poole,Warriors
1629645,Kevin Porter Jr.,Rockets
1629008,Michael Porter Jr.,Nuggets
203490,Otto Porter Jr.,Warriors
1626171,Bobby Portis,Bucks
204001,Kristaps Porzingis,Wizards
203939,Dwight Powell,Mavericks
1629619,Myles Powell,76ers
1626181,Norman Powell,Clippers
1630563,Joshua Primo,Spurs
1627752,Taurean Prince,Timberwolves
1630202,Payton Pritchard,Celtics
1630243,Trevelin Queen,Rockets
1629674,Neemias Queta,Kings
1630193,Immanuel Quickley,Knicks
203944,Julius Randle,Knicks
1630559,Austin Reaves,Lakers
1629629,Cam Reddish,Knicks
1628432,Davon Reed,Nuggets
1630194,Paul Reed,76ers
1629675,Naz Reid,Timberwolves
1630208,Nick Richards,Hornets
1626196,Josh Richardson,Spurs
203085,Austin Rivers,Nuggets
1629130,Duncan Robinson,Heat
1629011,Mitchell Robinson,Knicks
1630526,Jeremiah Robinson-Earl,Thunder
1629676,Isaiah Roby,Thunder
200765,Rajon Rondo,Cavaliers
201565,Derrick Rose,Knicks
