PLAYER_NAME,SALARY
Mitchell Robinson,"$1,802,057"
Jeremiah Robinson-Earl,"$2,000,000"
Isaiah Roby,"$1,782,621"
Rajon Rondo,"$2,641,691"
Derrick Rose,"$13,445,120"
Terrence Ross,"$12,500,000"
Terry Rozier,"$17,905,263"
Ricky Rubio,"$17,809,524"
D'Angelo Russell,"$30,013,500"
Matt Ryan,
Domantas Sabonis,"$18,562,500"
Dario Saric,"$9,000,000"
Tomas Satoransky,"$10,468,119"
Jordan Schakel,
Admiral Schofield,
Dennis Schroder,"$5,890,000"
Jay Scrubb,
Alperen Sengun,"$3,214,680"
Collin Sexton,"$6,349,671"
Landry Shamet,"$3,768,342"
Day'Ron Sharpe,"$2,009,040"
Pascal Siakam,"$31,320,000"
Ben Simmons,"$31,590,000"
Marko Simonovic,"$925,258"
Anfernee Simons,"$3,938,818"
Jericho Sims,
Javonte Smart,
Marcus Smart,"$14,339,285"
Ish Smith,"$4,500,000"
Jalen Smith,"$4,458,000"
Xavier Sneed,
Tony Snell,"$2,389,641"
Jaden Springer,"$2,023,800"
Nik Stauskas,
Lance Stephenson,"$924,730"
Lamar Stevens,"$1,517,981"
Isaiah Stewart,"$3,277,080"
Max Strus,"$1,669,178"
Jalen Suggs,"$6,593,040"
Jae'Sean Tate,"$1,517,981"
Jayson Tatum,"$28,103,550"
Terry Taylor,"$21,270"
Garrett Temple,"$4,910,000"
Tyrell Terry,"$1,517,981"
Daniel Theis,"$8,372,093"
Brodric Thomas,
Cam Thomas,"$2,036,280"
Isaiah Thomas,"$276,039"
Matt Thomas,"$1,669,178"
Klay Thompson,"$37,980,720"
Tristan Thompson,"$10,720,900"
JT Thor,"$1,250,000"
Matisse Thybulle,"$2,840,160"
Killian Tillie,"$2,000,000"
Xavier Tillman,
Isaiah Todd,"$1,500,000"
Obi Toppin,"$5,105,160"
Juan Toscano-Anderson,"$1,701,593"
Karl-Anthony Towns,"$31,610,000"
Gary Trent Jr.,"$16,000,000"
P.J. Tucker,"$7,000,000"
Rayjon Tucker,"$28,779"
Myles Turner,"$18,000,000"
Jonas Valanciunas,"$14,000,000"
Fred VanVleet,"$19,675,926"
Jarred Vanderbilt,"$4,259,259"
Devin Vassell,"$4,235,160"
Luca Vildoza,"$51,347"
Gabe Vincent,"$1,669,178"
Nikola Vucevic,"$24,000,000"
Dean Wade,"$1,782,621"
Franz Wagner,"$5,007,840"
Moritz Wagner,"$1,729,217"
Ish Wainright,"$8,558"
Kemba Walker,"$34,967,442"
Lonnie Walker IV,"$4,447,896"
John Wall,"$44,310,840"
T.J. Warren,"$12,690,000"
P.J. Washington,"$4,215,120"
Duane Washington Jr.,"$21,270"
Yuta Watanabe,"$1,762,769"
Lindy Waters III,
Trendon Watford,"$260,561"
Quinndary Weatherspoon,
Russell Westbrook,"$44,211,146"
Coby White,"$5,837,760"
Derrick White,"$15,178,571"
Hassan Whiteside,"$2,401,537"
Joe Wieskamp,"$202,068"
